HM1: Division,Comment
Community Care Division,Forever grateful for my consistent support/understanding from my Team Leader while navigating my [family member and details removed].
Community Care Division,Found support from HR/Pensions when enquiring about possibility of secondment role impacting special class status very lacking.  Therefore did not pursue the secondment which would have given me chance to further develop management skills and experience.
Community Care Division,"Freedom to speak up -what a joke ....  Serious patient safety concerns due to incompetent negligent fellow [job title removed].  Wider employing Trust has zero idea how to deal with this issue.  Swept under the carpet for the 3rd time after 3rd NHS England /Practitioner Performance investigation.  [job title removed] in question still in post 2 years later albeit excluded from [details removed] work while my employing Trust 'manage' the situation.  Meanwhile the whistleblowers including me in my dept, are harassed and bullied by the wider Trust and subject to frivolous malicious grievance procedures; the outcome of which bear no relation to what actually happened and how and why many patients were harmed is ignored.  Several [job title removed] in my dept significantly affected by the wider Trust's mismanagement of this situation and had time off sick with workplace related stress as a consequence.  This further affects the ability of my dept to provide care for vulnerable referred patients.  Disillusioned at the moment and certainly view the past 2 years in my NHS clinical role as the worst in my [timeframe removed] career as a UK salaried Community dentist."
Community Care Division,"From a reports perspective, i.e. rapid reviews/ radars/ documenting in prep for QRV/ documenting safety huddles etc., I feel there has been a huge increase in this admin type work which takes time and has resulted in reducing clinical time to see patients and support staff.  This needs to be considered in respect of staffing.  There are tasks such as documenting MCA/ BI and completing shared decision tools which take a great deal of time and is not reflected in out staffs timetabling.  Staff are mostly clinical with little admin time to complete such tasks.  This needs to be addressed."
Community Care Division,Great leadership team who are supportive.
Community Care Division,Haven't had any management 1-1 supervision in Sefton in [timeframe removed] with regard to caseload management or health and wellbeing.
Community Care Division,Having my occupation listed as AHP other says it all really about how valued I feel my profession is within this organisation.
Community Care Division,Having worked in the organisation for the whole of my adult life.  I have always worked in Mental health division.  Had I have still been there my answers would be completely different.  The culture is Mental health division is shocking.  Since moving to [location and timeframe removed] ago I feel happy going into work to do a job I love supporting patients and families making a huge difference in people lives.  Had I not have left Mental health division I would have left to go to private sector.  I now have a good work life balance and I'm supported to do so.
Community Care Division,"Healthier food options at Hollins Park please, salad is not often available, cooked meals are fine but too heavy for lunchtime, need lighter options with plenty of fresh salad available."
Community Care Division,"Higher management need to understand and support us nurses more, we don't get dinner breaks ever as there's to much work put on us, as they say you us take your breaks its physically impossible.  Some days eat on go or don't eat at all, take work home with us, as there never enough staff are patient lists always high.  If mistakes are made high management come down on us, not understanding how hard day in day out we work.  The pressure is on us every day.  Its physically and mentally draining, they wonder why so much long term sick!  .  Things need to change for everyone's well being.  I love my job, but the stress of it is getting worse not better, exhausted all the time."
Community Care Division,Honestly speaking I feel the comments or negative thoughts would not be addressed in surveys as I feel this exercise is a tick box.  The information that is collated never gets fed back to staff delivering the care.  As if that was the case here would be changes in the organisation.  As staff have approached myself about being frustrated regarding management and have been honest completing this survey.
Community Care Division,"How come this survey is supposed to be anonymous, yet I continually receive notifications to complete the survey?  It's a joke, the same as the Organisation as a whole.  Lowly Clerks are the lowest of the low.  I would never suggest anyone work for this organisation and I cannot wait to leave."
Community Care Division,"HR backing staff that shouldn't be here makes me feel less motivated in my role.  Clear breaches of conduct but ignored due to ""Just and Learning Culture""."
Community Care Division,HR policies are not always followed in a timely manner leading to stress and confusion.
Community Care Division,Hybrid model of working is life changing and provides a much better balance.  The option for people to decide where they work best and can output the most work is invaluable.
Community Care Division,"I am aware of the intense pressure the DN Staff work under, and this is reflected in our RADAR reporting system, incident that could be avoided, and have seen Nursing staff worn out, burnt out and tearful due to lack of staff and increased workloads with patients increasing complexity in the Community.  No time for staff to complete Training, new nurses taking on patients and increasing workloads whilst in preceptorship."
Community Care Division,"I am concerned that the senior leadership team are not visible.  The SLT apply/enforce working practices that are not realistic, they appear to only have concerns about stakeholders and appear to have no concerns for patient or staff well being."
Community Care Division,"I am currently a Band 3 support worker and feel that a lot of the work that I do, should be Band 4 because of the level of responsibility."
Community Care Division,I am dismayed at how the changes within my organisation make it it clear that they do not care about its employees.  I have never worked in a company that does not care about a employees mental well being in particular.  Senior managers of my organisation have no clue about what happens on the ground nor do they wish to.  Its all about meeting their individual targets regardless of what measures are required to achieve them.
Community Care Division,"I am due to leave the organisation, I value the time I have worked here and hope to return in the future."
Community Care Division,"I am experiencing difficulties completing the RADAR system of reporting safety concerns.  The online form isn't fit for purpose.  The trust has become so large that forms are required to cover in patient, community, mental health, and physical health settings which makes forms such as RADAR very difficult to complete.  As a [details removed] I have concerns that errors /concerns aren't being recorded as staff when completing RADAR find the form isn't saved."
